State,District,College Name,Location,Stream,Affiliation,Established,Fee,Seats,Marks Required,Management Type
Tamil Nadu,Coimbatore,Government College of Technology,Coimbatore,B.Tech/B.E,Anna University,1945,₹50000/year,900,null,Government
Tamil Nadu,Sivaganga,Alagappa Chettiar College of Engineering and Technology,Karaikudi,B.Tech/B.E,Anna University,1952,₹45000/year,800,null,Government
Tamil Nadu,Salem,Government College of Engineering,Salem,B.Tech/B.E,Anna University,1966,₹45000/year,600,null,Government
Tamil Nadu,Tirunelveli,Government College of Engineering,Tirunelveli,B.Tech/B.E,Anna University,1981,₹45000/year,600,null,Government
Tamil Nadu,Erode,Government College of Engineering,Erode,B.Tech/B.E,Anna University,1984,₹45000/year,540,null,Government
Tamil Nadu,Vellore,Thanthai Periyar Government Institute of Technology,Vellore,B.Tech/B.E,Anna University,1990,₹45000/year,480,null,Government
Tamil Nadu,Krishnagiri,Government College of Engineering,Bargur,B.Tech/B.E,Anna University,1994,₹45000/year,540,null,Government
Tamil Nadu,Thanjavur,Government College of Engineering,Thanjavur,B.Tech/B.E,Anna University,2012,₹45000/year,480,null,Government
Tamil Nadu,Theni,Government College of Engineering,Bodinayakkanur,B.Tech/B.E,Anna University,2012,₹45000/year,360,null,Government
Tamil Nadu,Dharmapuri,Government College of Engineering,Dharmapuri,B.Tech/B.E,Anna University,2013,₹45000/year,480,null,Government
Tamil Nadu,Tiruchirappalli,Government College of Engineering,Srirangam,B.Tech/B.E,Anna University,2013,₹45000/year,480,null,Government
Tamil Nadu,Madurai,AIIMS Madurai,Madurai,MBBS,AIIMS,2021,₹5000/year,50,null,Government
Tamil Nadu,Chennai,Madras Medical College,Chennai,MBBS,TN Dr.MGR Medical University,1835,₹10000/year,250,null,Government
Tamil Nadu,Chennai,Stanley Medical College,Chennai,MBBS,TN Dr.MGR Medical University,1838,₹10000/year,250,null,Government
Tamil Nadu,Chennai,Kilpauk Medical College,Chennai,MBBS,TN Dr.MGR Medical University,1960,₹10000/year,150,null,Government
Tamil Nadu,Madurai,Madurai Medical College,Madurai,MBBS,TN Dr.MGR Medical University,1954,₹10000/year,250,null,Government
Tamil Nadu,Coimbatore,Coimbatore Medical College,Coimbatore,MBBS,TN Dr.MGR Medical University,1966,₹10000/year,200,null,Government
Tamil Nadu,Thanjavur,Thanjavur Medical College,Thanjavur,MBBS,TN Dr.MGR Medical University,1959,₹10000/year,150,null,Government
Tamil Nadu,Tirunelveli,Tirunelveli Medical College,Tirunelveli,MBBS,TN Dr.MGR Medical University,1965,₹10000/year,250,null,Government
Tamil Nadu,Vellore,Government Vellore Medical College,Vellore,MBBS,TN Dr.MGR Medical University,2005,₹10000/year,100,null,Government
Tamil Nadu,Salem,Government Mohan Kumaramangalam Medical College,Salem,MBBS,TN Dr.MGR Medical University,1986,₹10000/year,100,null,Government
Karnataka,Surathkal,National Institute of Technology Karnataka,Surathkal,B.Tech/B.E,NIT Surathkal,1960,₹5.5 Lakhs,909,null,Central Government
Karnataka,Bangalore,University Visvesvaraya College of Engineering,Bangalore,B.Tech/B.E,Bangalore University,1917,₹25000/year,780,null,Government
Karnataka,Bangalore,BMS College of Engineering,Bangalore,B.Tech/B.E,VTU Belgavi,1946,₹30000/year,1080,null,Government
Karnataka,Mysore,SJCE Mysore,Mysore,B.Tech/B.E,JSS Science and Technology University,1963,₹40000/year,720,null,Government
Karnataka,Tumkur,Siddaganga Institute of Technology,Tumkur,B.Tech/B.E,VTU Belgavi,1963,₹45000/year,600,null,Government
Karnataka,Bangalore,Bangalore Medical College and Research Institute,Bangalore,MBBS,RGUHS,1955,₹15000/year,250,null,Government
Karnataka,Mysore,Mysore Medical College and Research Institute,Mysore,MBBS,RGUHS,1924,₹15000/year,200,null,Government
Karnataka,Hubli,Karnataka Institute of Medical Sciences,Hubli,MBBS,RGUHS,1957,₹15000/year,150,null,Government
Karnataka,Belgaum,Belgaum Institute of Medical Sciences,Belgaum,MBBS,RGUHS,1963,₹15000/year,150,null,Government
Karnataka,Bellary,Vijaynagar Institute of Medical Sciences,Bellary,MBBS,RGUHS,1958,₹15000/year,150,null,Government
Karnataka,Gulbarga,Gulbarga Institute of Medical Sciences,Gulbarga,MBBS,RGUHS,1980,₹15000/year,150,null,Government
Karnataka,Mandya,Mandya Institute of Medical Sciences,Mandya,MBBS,RGUHS,1986,₹15000/year,100,null,Government
Karnataka,Hassan,Hassan Institute of Medical Sciences,Hassan,MBBS,RGUHS,1973,₹15000/year,100,null,Government
Karnataka,Shimoga,Shimoga Institute of Medical Sciences,Shimoga,MBBS,RGUHS,1981,₹15000/year,100,null,Government
Karnataka,Bangalore,ESIC Medical College and PGIMSR,Bangalore,MBBS,RGUHS,2010,₹10000/year,150,null,Government
Maharashtra,Mumbai,Indian Institute of Technology Bombay,Mumbai,B.Tech/B.E,IIT Bombay,1958,₹8.5 Lakhs,1360,null,Central Government
Maharashtra,Mumbai,Institute of Chemical Technology,Mumbai,B.Tech/B.E,ICT Mumbai,1933,₹40000/year,480,null,Government
Maharashtra,Mumbai,Veermata Jijabai Technological Institute,Mumbai,B.Tech/B.E,Mumbai University,1887,₹45000/year,720,null,Government
Maharashtra,Nagpur,Visvesvaraya National Institute of Technology,Nagpur,B.Tech/B.E,VNIT Nagpur,1960,₹5.5 Lakhs,965,null,Central Government
Maharashtra,Pune,College of Engineering Pune,Pune,B.Tech/B.E,Pune University,1854,₹40000/year,1050,null,Government
Maharashtra,Aurangabad,Government College of Engineering,Aurangabad,B.Tech/B.E,Dr. Babasaheb Ambedkar Marathwada University,1960,₹35000/year,600,null,Government
Maharashtra,Amravati,Government College of Engineering,Amravati,B.Tech/B.E,Sant Gadge Baba Amravati University,1964,₹35000/year,390,null,Government
Maharashtra,Nagpur,AIIMS Nagpur,Nagpur,MBBS,AIIMS,2018,₹5000/year,125,null,Central Government
Maharashtra,Mumbai,Seth G.S. Medical College,Mumbai,MBBS,Mumbai University,1926,₹20000/year,260,null,Government
Maharashtra,Mumbai,King Edward Memorial Hospital,Mumbai,MBBS,Mumbai University,1926,₹20000/year,250,null,Government
Maharashtra,Mumbai,Lokmanya Tilak Municipal Medical College,Mumbai,MBBS,Mumbai University,1946,₹20000/year,180,null,Government
Maharashtra,Mumbai,Topiwala National Medical College,Mumbai,MBBS,Mumbai University,1946,₹20000/year,200,null,Government
Maharashtra,Pune,Armed Forces Medical College,Pune,MBBS,AFMC,1948,null,130,null,Central Government
Maharashtra,Pune,B.J. Government Medical College,Pune,MBBS,Pune University,1878,₹18000/year,200,null,Government
Maharashtra,Nagpur,Government Medical College,Nagpur,MBBS,Nagpur University,1946,₹18000/year,250,null,Government
Maharashtra,Aurangabad,Government Medical College,Aurangabad,MBBS,Maharashtra University of Health Sciences,1956,₹18000/year,150,null,Government
Uttar Pradesh,Kanpur,Indian Institute of Technology Kanpur,Kanpur,B.Tech/B.E,IIT Kanpur,1959,₹8.5 Lakhs,1100,null,Central Government
